DBA,BORO,BUILDING,STREET,ZIPCODE,INSPECTION DATE,VIOLATION DESCRIPTION,CRITICAL FLAG,INSPECTION TYPE
CHINA TASTES,Brooklyn,627,SUTTER AVENUE,11207.0,[Timestamp('2024-04-15 00:00:00')],"['Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.', 'Thawing procedure improper.', 'Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.', 'No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.', 'Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.', ""Live roaches in facility's food or non-food area."", ""Evidence of mice or live mice in establishment's food or non-food areas."", ""Evidence of rats or live rats in establishment's food or non-food areas."", 'After cooking or removal from hot holding, TCS food not cooled by an approved method whereby the internal temperature is reduced from 140 °F to 70 °F or less within 2 hours, and from 70 °F to 41 °F or less within 4 additional hours.', 'Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.', 'Contract with a pest management professional not in place. Record of extermination activities not kept on premises.']","['Not Critical', 'Critical']",['Cycle Inspection / Re-inspection']
CHOPSTIX,Brooklyn,8405,5 AVENUE,11209.0,[Timestamp('2024-03-11 00:00:00')],"['Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.', 'Hot TCS food item not held at or above 140 °F.', ""Live roaches in facility's food or non-food area."", 'Food Protection Certificate (FPC) not held by manager or supervisor of food operations.', 'Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.', 'Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.', 'Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.', 'Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.', ""Evidence of mice or live mice in establishment's food or non-food areas.""]","['Critical', 'Not Critical']",['Cycle Inspection / Initial Inspection']
DOUBLE DRAGON RESTAURANT,Brooklyn,7714,13 AVENUE,11228.0,[Timestamp('2024-09-24 00:00:00')],"['Hot TCS food item not held at or above 140 °F.', 'Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.', 'Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.', 'Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.', 'Contract with a pest management professional not in place. Record of extermination activities not kept on premises.', ""Evidence of mice or live mice in establishment's food or non-food areas.""]","['Critical', 'Not Critical']",['Cycle Inspection / Initial Inspection']
DRAGON CITY RESTAURANT,Queens,9510,SUTPHIN BLVD,11435.0,[Timestamp('2024-08-20 00:00:00')],"['Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required. Jewelry worn on hands or arms. Fingernail polish worn or fingernails not kept clean and trimmed.', ""Evidence of mice or live mice in establishment's food or non-food areas."", 'Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.', 'Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.', 'Hot TCS food item not held at or above 140 °F.', 'Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.', 'Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.', 'Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.', ""Live roaches in facility's food or non-food area."", 'Contract with a pest management professional not in place. Record of extermination activities not kept on premises.']","['Critical', 'Not Critical']",['Cycle Inspection / Re-inspection']
DRAGON KING RESTAURANT,Brooklyn,1078,NOSTRAND AVENUE,11225.0,[Timestamp('2024-09-19 00:00:00')],"['Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests  in  establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.', 'Tobacco or electronic cigarette use, eating, or drinking from open container in food preparation, food storage or dishwashing area.', 'Food, supplies, and equipment not protected from potential source of contamination during storage, preparation, transportation, display or service.', 'Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.', 'Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.', 'Thawing procedure improper.', 'Hot TCS food item not held at or above 140 °F.', 'Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.']","['Critical', 'Not Critical']",['Cycle Inspection / Initial Inspection']
EASTERN CHINESE RESTAURANT,Queens,2105,BROADWAY,11106.0,[Timestamp('2024-08-26 00:00:00')],"['Contract with a pest management professional not in place. Record of extermination activities not kept on premises.', 'No approved written standard operating procedure for avoiding contamination by refillable returnable containers.', 'Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.', 'Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.', ""Live roaches in facility's food or non-food area.""]","['Not Critical', 'Critical']",['Cycle Inspection / Re-inspection']
EMPIRE SZECHUAN GARDEN,Queens,4342,46TH ST,11104.0,[Timestamp('2024-03-28 00:00:00')],"['Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.', 'Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.', 'Contract with a pest management professional not in place. Record of extermination activities not kept on premises.', 'Thawing procedure improper.', ""Evidence of mice or live mice in establishment's food or non-food areas.""]","['Critical', 'Not Critical']",['Cycle Inspection / Initial Inspection']
FAMOUS CITY KITCHEN,Brooklyn,5311,7 AVENUE,11220.0,[Timestamp('2024-09-18 00:00:00')],"['Contract with a pest management professional not in place. Record of extermination activities not kept on premises.', 'No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.', 'Food Protection Certificate (FPC) not held by manager or supervisor of food operations.', ""Live roaches in facility's food or non-food area."", 'Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.', 'Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.', 'Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required. Jewelry worn on hands or arms. Fingernail polish worn or fingernails not kept clean and trimmed.', 'Thawing procedure improper.', 'Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.', 'Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.']","['Not Critical', 'Critical']",['Cycle Inspection / Initial Inspection']
FIRST HAND FOOD,Queens,14254,ROOSEVELT AVE,11354.0,[Timestamp('2024-11-15 00:00:00')],"['No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.', 'Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.', 'Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.', 'Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.', 'Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.', ""Evidence of mice or live mice in establishment's food or non-food areas."", 'Thawing procedure improper.', 'Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.', 'Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.', 'Hot TCS food item not held at or above 140 °F.']","['Critical', 'Not Critical']",['Cycle Inspection / Re-inspection']
FOK NOODLES EXPRESS,Manhattan,12,MOTT STREET,10013.0,[Timestamp('2024-12-09 00:00:00')],"['Properly scaled and calibrated thermometer or thermocouple not provided or not readily accessible in food preparation and hot/cold holding areas to measure temperatures of TCS foods during cooking, cooling, reheating, and holding.', 'Food, prohibited, from unapproved or unknown source, home canned or home prepared. Animal slaughtered, butchered or dressed (eviscerated, skinned) in establishment. Reduced Oxygen Packaged (ROP) fish not frozen before processing. ROP food prepared on premises transported to another site.', 'Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.', 'Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.']","['Critical', 'Not Critical']",['Pre-permit (Operational) / Initial Inspection']
FRIENDLY RESTAURANT,Queens,1205,40TH AVE,11101.0,[Timestamp('2024-06-26 00:00:00')],"['Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.', 'Insufficient or no hot holding, cold storage or cold holding equipment provided to maintain Time/Temperature Control for Safety Foods (TCS) at required temperatures', 'Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.', 'Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.', 'Properly scaled and calibrated thermometer or thermocouple not provided or not readily accessible in food preparation and hot/cold holding areas to measure temperatures of TCS foods during cooking, cooling, reheating, and holding.', ""Evidence of mice or live mice in establishment's food or non-food areas."", 'Single service article not provided. Single service article reused or not protected from contamination when transported, stored, dispensed. Drinking straws not completely enclosed in wrapper or dispensed from a sanitary device.']","['Critical', 'Not Critical']",['Cycle Inspection / Initial Inspection']
FU FAN RESTAURANT,Queens,8505,WHITNEY AVE,11373.0,[Timestamp('2024-09-30 00:00:00')],"['Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.', 'Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.', 'Contract with a pest management professional not in place. Record of extermination activities not kept on premises.', 'No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.', 'No approved written standard operating procedure for avoiding contamination by refillable returnable containers.', 'Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.', 'Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.', 'Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.', 'Thawing procedure improper.', 'Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.']","['Critical', 'Not Critical']",['Pre-permit (Operational) / Initial Inspection']
FU ZHOU WEI ZHONG WEI JU XIANG FENG WEI,Manhattan,88,EAST BROADWAY,10002.0,[Timestamp('2024-08-28 00:00:00')],"['Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.', ""Evidence of rats or live rats in establishment's food or non-food areas."", 'After cooking or removal from hot holding, TCS food not cooled by an approved method whereby the internal temperature is reduced from 140 °F to 70 °F or less within 2 hours, and from 70 °F to 41 °F or less within 4 additional hours.', 'Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.', 'Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.', 'Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.', 'Hot TCS food item not held at or above 140 °F.', 'Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.', 'Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.', 'Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.', 'Food preparation area, food storage area, or other area used by employees or patrons, contaminated by sewage or liquid waste.', ""Live roaches in facility's food or non-food area."", 'Design, construction, materials used or maintenance of food contact surface improper. Surface not easily cleanable, sanitized and maintained.', ""Evidence of mice or live mice in establishment's food or non-food areas.""]","['Not Critical', 'Critical']",['Cycle Inspection / Re-inspection']
GOLDEN CITY CHINESE RESTAURANT,Manhattan,423,9 AVENUE,10001.0,[Timestamp('2024-08-20 00:00:00')],"[""Live roaches in facility's food or non-food area."", 'Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.', 'Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.', 'Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.', 'Hot TCS food item not held at or above 140 °F.']","['Critical', 'Not Critical']",['Cycle Inspection / Re-inspection']
GOLDEN PALACE CHINESE RESTAURANT,Bronx,682,CASTLE HILL AVENUE,10473.0,[Timestamp('2024-06-11 00:00:00')],"['Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.', 'Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.', 'No approved written standard operating procedure for avoiding contamination by refillable returnable containers.', 'Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.', 'Contract with a pest management professional not in place. Record of extermination activities not kept on premises.', 'Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.', 'Garbage receptacle not pest or water resistant, with tight-fitting lids, and covered except while in active use. Garbage receptacle and cover not cleaned after emptying and prior to reuse. Garbage, refuse and other solid and liquid waste not collected, stored, removed and disposed of so as to prevent a nuisance.', ""Live roaches in facility's food or non-food area."", 'Single service article not provided. Single service article reused or not protected from contamination when transported, stored, dispensed. Drinking straws not completely enclosed in wrapper or dispensed from a sanitary device.']","['Critical', 'Not Critical']",['Cycle Inspection / Initial Inspection']
