DBA,BORO,BUILDING,STREET,ZIPCODE,INSPECTION DATE,VIOLATION DESCRIPTION,CRITICAL FLAG,INSPECTION TYPE
NO 1 LUCK SUNG RESTAURANT,Bronx,694,EAST  187 STREET,10458.0,2022-03-03,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,Cycle Inspection / Re-inspection
NEW CHINA HOUSE,Bronx,9,WEST  183 STREET,10453.0,2022-06-06,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,Cycle Inspection / Initial Inspection
NO. 1 KITCHEN,Bronx,839,PROSPECT AVENUE,10459.0,2022-01-19,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,Cycle Inspection / Initial Inspection
NEW GREEN DRAGON,Bronx,4111,EAST TREMONT AVENUE,10465.0,2022-11-09,Live roaches in facility's food or non-food area.,Critical,Cycle Inspection / Initial Inspection
PANDA RESTAURANT,Bronx,3218,3 AVENUE,10451.0,2022-06-14,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,Cycle Inspection / Initial Inspection
NEW CHINA HOUSE,Bronx,9,WEST  183 STREET,10453.0,2022-06-06,Food contact surface not properly maintained.,Not Critical,Cycle Inspection / Initial Inspection
NEW GREEN DRAGON,Bronx,4111,EAST TREMONT AVENUE,10465.0,2022-11-09,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Cycle Inspection / Initial Inspection
DYNASTY TASTE LAM,Bronx,539A,EAST TREMONT AVENUE,10457.0,2022-07-06,"Food, supplies, and equipment not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,Cycle Inspection / Initial Inspection
NO. 1 KITCHEN,Bronx,839,PROSPECT AVENUE,10459.0,2022-01-19,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,Cycle Inspection / Initial Inspection
NEW CHINA HOUSE,Bronx,9,WEST  183 STREET,10453.0,2022-06-06,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,Cycle Inspection / Initial Inspection
DYNASTY TASTE LAM,Bronx,539A,EAST TREMONT AVENUE,10457.0,2022-07-06,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,Cycle Inspection / Initial Inspection
DYNASTY TASTE LAM,Bronx,539A,EAST TREMONT AVENUE,10457.0,2022-07-06,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,Cycle Inspection / Initial Inspection
NEW CHINA HOUSE,Bronx,9,WEST  183 STREET,10453.0,2022-06-06,Live roaches present in facility's food and/or non-food areas.,Critical,Cycle Inspection / Initial Inspection
NO 1 LUCK SUNG RESTAURANT,Bronx,694,EAST  187 STREET,10458.0,2022-03-03,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,Cycle Inspection / Re-inspection
PANDA RESTAURANT,Bronx,3218,3 AVENUE,10451.0,2022-06-14,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,Cycle Inspection / Initial Inspection
TASTE OF CHINA,Brooklyn,430,4 AVENUE,11215.0,2022-03-28,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,Cycle Inspection / Initial Inspection
HOMETOWN CUISINE,Brooklyn,5017,8 AVENUE,11220.0,2022-11-22,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",Critical,Cycle Inspection / Re-inspection
TWINS DUMPLING KING,Brooklyn,151,AVENUE U,11223.0,2022-09-19,Hot TCS food item not held at or above 140 °F.,Critical,Cycle Inspection / Re-inspection
TING FAI CUISINE,Brooklyn,1962,86 STREET,11214.0,2022-09-29,"Design, construction, materials used or maintenance of food contact surface improper.  Surface not easily cleanable, sanitized and maintained.",Not Critical,Cycle Inspection / Re-inspection
HAPPY GARDEN,Brooklyn,370,UTICA AVENUE,11213.0,2022-09-27,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,Cycle Inspection / Re-inspection
YANG NO 1 CHINESE ASIAN RESTAURANT,Brooklyn,109,SOUTH PORTLAND AVENUE,11217.0,2022-07-25,"Food, supplies, and equipment not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,Pre-permit (Operational) / Initial Inspection
NICE CHINATOWN,Brooklyn,1411,FOSTER AVENUE,11230.0,2022-06-17,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,Pre-permit (Operational) / Initial Inspection
JUNE'S BAKERY & CAFE,Brooklyn,1505,AVENUE U,11229.0,2022-02-24,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,Pre-permit (Operational) / Initial Inspection
HAPPY GARDEN,Brooklyn,370,UTICA AVENUE,11213.0,2022-09-27,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Cycle Inspection / Re-inspection
TING FAI CUISINE,Brooklyn,1962,86 STREET,11214.0,2022-09-29,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,Cycle Inspection / Re-inspection
JING JIANG SEAFOOD RESTAURANT,Brooklyn,4619,8 AVENUE,11220.0,2022-08-23,"Dishwashing and ware washing:  Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,Cycle Inspection / Initial Inspection
HAPPY HOUSE SEAFOOD RESTAURANT,Brooklyn,5014-16,8TH AVE,11220.0,2022-05-11,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,Critical,Cycle Inspection / Initial Inspection
HAPPY HOUSE SEAFOOD RESTAURANT,Brooklyn,5014-16,8TH AVE,11220.0,2022-05-11,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,Cycle Inspection / Initial Inspection
JUNE'S BAKERY & CAFE,Brooklyn,1505,AVENUE U,11229.0,2022-02-24,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,Pre-permit (Operational) / Initial Inspection
HAPPY GARDEN,Brooklyn,370,UTICA AVENUE,11213.0,2022-09-27,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests  in  establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Cycle Inspection / Re-inspection
YUN NAN FLAVOUR GARDEN,Brooklyn,5121,8 AVENUE,11220.0,2022-08-30,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,Cycle Inspection / Re-inspection
TASTE OF CHINA,Brooklyn,430,4 AVENUE,11215.0,2022-03-28,Thawing procedures improper.,Not Critical,Cycle Inspection / Initial Inspection
NEW PEKING,Brooklyn,344,CLASSON AVENUE,11238.0,2022-06-08,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,Cycle Inspection / Initial Inspection
A FEI CHINESE RESTAURANT,Brooklyn,553,THROOP AVENUE,11216.0,2022-02-16,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,Cycle Inspection / Initial Inspection
JING JIANG SEAFOOD RESTAURANT,Brooklyn,4619,8 AVENUE,11220.0,2022-08-23,"Accurate thermometer not provided or properly located in refrigerated, cold storage or hot holding equipment",Not Critical,Cycle Inspection / Initial Inspection
JUNE'S BAKERY & CAFE,Brooklyn,1505,AVENUE U,11229.0,2022-02-24,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,Pre-permit (Operational) / Initial Inspection
HAPPY GARDEN,Brooklyn,370,UTICA AVENUE,11213.0,2022-09-27,Hot TCS food item not held at or above 140 °F.,Critical,Cycle Inspection / Re-inspection
HOMETOWN CUISINE,Brooklyn,5017,8 AVENUE,11220.0,2022-11-22,Hot TCS food item not held at or above 140 °F.,Critical,Cycle Inspection / Re-inspection
NICE CHINATOWN,Brooklyn,1411,FOSTER AVENUE,11230.0,2022-06-17,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,Pre-permit (Operational) / Initial Inspection
HOMETOWN CUISINE,Brooklyn,5017,8 AVENUE,11220.0,2022-11-22,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,Cycle Inspection / Re-inspection
YANG NO 1 CHINESE ASIAN RESTAURANT,Brooklyn,109,SOUTH PORTLAND AVENUE,11217.0,2022-07-28,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,Pre-permit (Operational) / Reopening Inspection
HAPPY HOUSE SEAFOOD RESTAURANT,Brooklyn,5014-16,8TH AVE,11220.0,2022-05-11,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,Cycle Inspection / Initial Inspection
JING JIANG SEAFOOD RESTAURANT,Brooklyn,4619,8 AVENUE,11220.0,2022-08-23,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,Cycle Inspection / Initial Inspection
JING JIANG SEAFOOD RESTAURANT,Brooklyn,4619,8 AVENUE,11220.0,2022-08-23,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,Cycle Inspection / Initial Inspection
NEW KING'S FOOD RESTAURANT,Brooklyn,127,MALCOLM X BOULEVARD,11221.0,2022-01-18,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,Cycle Inspection / Initial Inspection
CHOPSTICK,Brooklyn,884,REMSEN AVENUE,11236.0,2022-05-31,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,Cycle Inspection / Initial Inspection
YANG NO 1 CHINESE ASIAN RESTAURANT,Brooklyn,109,SOUTH PORTLAND AVENUE,11217.0,2022-07-25,Hot TCS food item not held at or above 140 °F.,Critical,Pre-permit (Operational) / Initial Inspection
JING JIANG SEAFOOD RESTAURANT,Brooklyn,4619,8 AVENUE,11220.0,2022-08-23,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,Cycle Inspection / Initial Inspection
TWINS DUMPLING KING,Brooklyn,151,AVENUE U,11223.0,2022-09-19,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,Cycle Inspection / Re-inspection
JUNE'S BAKERY & CAFE,Brooklyn,1505,AVENUE U,11229.0,2022-02-24,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,Pre-permit (Operational) / Initial Inspection
NEW RED LANTERN,Brooklyn,5701,FORT HAMILTON PARKWAY,11219.0,2022-11-15,"No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area.  Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.",Critical,Cycle Inspection / Compliance Inspection
NEW KING'S FOOD RESTAURANT,Brooklyn,127,MALCOLM X BOULEVARD,11221.0,2022-01-18,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,Cycle Inspection / Initial Inspection
YUN NAN FLAVOUR GARDEN,Brooklyn,5121,8 AVENUE,11220.0,2022-08-30,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,Cycle Inspection / Re-inspection
YANG NO 1 CHINESE ASIAN RESTAURANT,Brooklyn,109,SOUTH PORTLAND AVENUE,11217.0,2022-07-25,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,Pre-permit (Operational) / Initial Inspection
JING JIANG SEAFOOD RESTAURANT,Brooklyn,4619,8 AVENUE,11220.0,2022-08-23,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Cycle Inspection / Initial Inspection
NEW RED LANTERN,Brooklyn,5701,FORT HAMILTON PARKWAY,11219.0,2022-11-15,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,Cycle Inspection / Compliance Inspection
YUN NAN FLAVOUR GARDEN,Brooklyn,5121,8 AVENUE,11220.0,2022-08-30,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,Cycle Inspection / Re-inspection
A FEI CHINESE RESTAURANT,Brooklyn,553,THROOP AVENUE,11216.0,2022-02-16,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,Cycle Inspection / Initial Inspection
YANG NO 1 CHINESE ASIAN RESTAURANT,Brooklyn,109,SOUTH PORTLAND AVENUE,11217.0,2022-07-28,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,Pre-permit (Operational) / Reopening Inspection
HOMETOWN CUISINE,Brooklyn,5017,8 AVENUE,11220.0,2022-11-22,Thawing procedure improper.,Not Critical,Cycle Inspection / Re-inspection
YANG NO 1 CHINESE ASIAN RESTAURANT,Brooklyn,109,SOUTH PORTLAND AVENUE,11217.0,2022-07-25,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,Pre-permit (Operational) / Initial Inspection
NEW RED LANTERN,Brooklyn,5701,FORT HAMILTON PARKWAY,11219.0,2022-11-15,Live roaches in facility's food or non-food area.,Critical,Cycle Inspection / Compliance Inspection
YUN NAN FLAVOUR GARDEN,Brooklyn,5121,8 AVENUE,11220.0,2022-08-30,Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required.  Jewelry is worn on hands or arms.  Fingernail polish worn or fingernails not kept clean and trimmed.,Critical,Cycle Inspection / Re-inspection
TWINS DUMPLING KING,Brooklyn,151,AVENUE U,11223.0,2022-09-19,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,Cycle Inspection / Re-inspection
HAPPY HOUSE SEAFOOD RESTAURANT,Brooklyn,5014-16,8TH AVE,11220.0,2022-05-11,Hot food item not held at or above 140º F.,Critical,Cycle Inspection / Initial Inspection
HAPPY GARDEN,Brooklyn,370,UTICA AVENUE,11213.0,2022-09-27,Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required.  Jewelry is worn on hands or arms.  Fingernail polish worn or fingernails not kept clean and trimmed.,Critical,Cycle Inspection / Re-inspection
NEW PEKING,Brooklyn,344,CLASSON AVENUE,11238.0,2022-06-08,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,Cycle Inspection / Initial Inspection
YANG NO 1 CHINESE ASIAN RESTAURANT,Brooklyn,109,SOUTH PORTLAND AVENUE,11217.0,2022-07-25,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Pre-permit (Operational) / Initial Inspection
HAPPY HOUSE SEAFOOD RESTAURANT,Brooklyn,5014-16,8TH AVE,11220.0,2022-05-11,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,Cycle Inspection / Initial Inspection
HAPPY GARDEN,Brooklyn,370,UTICA AVENUE,11213.0,2022-09-27,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",Critical,Cycle Inspection / Re-inspection
NEW PEKING,Brooklyn,344,CLASSON AVENUE,11238.0,2022-06-08,Food contact surface not properly maintained.,Not Critical,Cycle Inspection / Initial Inspection
NEW PEKING,Brooklyn,344,CLASSON AVENUE,11238.0,2022-06-08,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,Cycle Inspection / Initial Inspection
TASTE OF CHINA,Brooklyn,430,4 AVENUE,11215.0,2022-03-28,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,Cycle Inspection / Initial Inspection
TING FAI CUISINE,Brooklyn,1962,86 STREET,11214.0,2022-09-29,"Food, supplies, and equipment not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,Cycle Inspection / Re-inspection
HOMETOWN CUISINE,Brooklyn,5017,8 AVENUE,11220.0,2022-11-22,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests  in  establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Cycle Inspection / Re-inspection
NICE CHINATOWN,Brooklyn,1411,FOSTER AVENUE,11230.0,2022-06-17,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,Critical,Pre-permit (Operational) / Initial Inspection
CHOPSTICK,Brooklyn,884,REMSEN AVENUE,11236.0,2022-05-31,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2  hours, and from 70º F to 41º F or less within 4 additional hours.",Critical,Cycle Inspection / Initial Inspection
NEW KING'S FOOD RESTAURANT,Brooklyn,127,MALCOLM X BOULEVARD,11221.0,2022-01-18,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,Cycle Inspection / Initial Inspection
HAPPY HOUSE,Brooklyn,1,SUTTER AVENUE,11212.0,2022-09-21,Live roaches in facility's food or non-food area.,Critical,Cycle Inspection / Re-inspection
JUNE'S BAKERY & CAFE,Brooklyn,1505,AVENUE U,11229.0,2022-02-24,Hot food item not held at or above 140º F.,Critical,Pre-permit (Operational) / Initial Inspection
YANG NO 1 CHINESE ASIAN RESTAURANT,Brooklyn,109,SOUTH PORTLAND AVENUE,11217.0,2022-07-25,"Tobacco or electronic cigarette use, eating, or drinking from open container in food preparation, food storage or dishwashing area.",Critical,Pre-permit (Operational) / Initial Inspection
NEW PEKING,Brooklyn,344,CLASSON AVENUE,11238.0,2022-06-08,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,Cycle Inspection / Initial Inspection
TING FAI CUISINE,Brooklyn,1962,86 STREET,11214.0,2022-09-29,Live roaches in facility's food or non-food area.,Critical,Cycle Inspection / Re-inspection
HOMETOWN CUISINE,Brooklyn,5017,8 AVENUE,11220.0,2022-11-22,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,Cycle Inspection / Re-inspection
NICE CHINATOWN,Brooklyn,1411,FOSTER AVENUE,11230.0,2022-06-17,Hot food item not held at or above 140º F.,Critical,Pre-permit (Operational) / Initial Inspection
NEW RED LANTERN,Brooklyn,5701,FORT HAMILTON PARKWAY,11219.0,2022-11-15,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,Cycle Inspection / Compliance Inspection
TING FAI CUISINE,Brooklyn,1962,86 STREET,11214.0,2022-09-29,Contract with a pest management professional not in place.  Record of extermination activities not kept on premises.,Not Critical,Cycle Inspection / Re-inspection
NEW RED LANTERN,Brooklyn,5701,FORT HAMILTON PARKWAY,11219.0,2022-11-15,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests  in  establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Cycle Inspection / Compliance Inspection
YANG NO 1 CHINESE ASIAN RESTAURANT,Brooklyn,109,SOUTH PORTLAND AVENUE,11217.0,2022-07-25,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,Pre-permit (Operational) / Initial Inspection
TASTE OF CHINA,Brooklyn,430,4 AVENUE,11215.0,2022-03-28,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,Cycle Inspection / Initial Inspection
NICE CHINATOWN,Brooklyn,1411,FOSTER AVENUE,11230.0,2022-06-17,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,Pre-permit (Operational) / Initial Inspection
TASTE OF CHINA,Brooklyn,430,4 AVENUE,11215.0,2022-03-28,Hot food item not held at or above 140º F.,Critical,Cycle Inspection / Initial Inspection
NEW RED LANTERN,Brooklyn,5701,FORT HAMILTON PARKWAY,11219.0,2022-11-15,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,Cycle Inspection / Compliance Inspection
HAPPY GARDEN,Brooklyn,370,UTICA AVENUE,11213.0,2022-09-27,Live roaches in facility's food or non-food area.,Critical,Cycle Inspection / Re-inspection
NICE CHINATOWN,Brooklyn,1411,FOSTER AVENUE,11230.0,2022-06-17,Wiping cloths soiled or not stored in sanitizing solution.,Critical,Pre-permit (Operational) / Initial Inspection
HAPPY GARDEN,Brooklyn,370,UTICA AVENUE,11213.0,2022-09-27,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,Cycle Inspection / Re-inspection
TWINS DUMPLING KING,Brooklyn,151,AVENUE U,11223.0,2022-09-19,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Cycle Inspection / Re-inspection
CHOPSTICK,Brooklyn,884,REMSEN AVENUE,11236.0,2022-05-31,Insufficient or no refrigerated or hot holding equipment to keep potentially hazardous foods at required temperatures.,Critical,Cycle Inspection / Initial Inspection
