DBA,BORO,BUILDING,STREET,ZIPCODE,INSPECTION DATE,VIOLATION DESCRIPTION,CRITICAL FLAG,INSPECTION TYPE
GOLD BAMBOO GARDEN RESTAURANT,Brooklyn,6409,8 AVENUE,11220.0,[Timestamp('2023-12-27 00:00:00')],"['Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.', 'Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.', 'Hot TCS food item not held at or above 140 °F.', ""Evidence of mice or live mice in establishment's food or non-food areas."", 'Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.']","['Not Critical', 'Critical']",['Cycle Inspection / Re-inspection']
GOLDEN BOWL RESTAURANT,Manhattan,51,DIVISION STREET,10002.0,[Timestamp('2023-05-26 00:00:00')],"['Hot TCS food item not held at or above 140 °F.', 'Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.', ""Evidence of mice or live mice in establishment's food or non-food areas."", 'Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.', 'Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.', 'Food, prohibited, from unapproved or unknown source, home canned or home prepared. Animal slaughtered, butchered or dressed (eviscerated, skinned) in establishment. Reduced Oxygen Packaged (ROP) fish not frozen before processing. ROP food prepared on premises transported to another site.', 'Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.', 'Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.', 'Contract with a pest management professional not in place. Record of extermination activities not kept on premises.', ""Live roaches in facility's food or non-food area."", 'Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.']","['Critical', 'Not Critical']",['Cycle Inspection / Initial Inspection']
GREAT WALL NYC,Bronx,159,WEST TREMONT AVENUE,10453.0,[Timestamp('2023-02-14 00:00:00')],"['Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.', 'Contract with a pest management professional not in place.  Record of extermination activities not kept on premises.', ""Evidence of mice or live mice in establishment's food or non-food areas."", 'Single service article not provided.  Single service article reused or not protected from contamination when transported, stored, dispensed.  Drinking straws not completely enclosed in wrapper or dispensed from a sanitary device.', 'Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.', ""Live roaches in facility's food or non-food area.""]","['Critical', 'Not Critical']",['Cycle Inspection / Re-inspection']
HAO NOODLE,Manhattan,343,WEST   14 STREET,10014.0,[Timestamp('2023-01-10 00:00:00')],"['Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.', 'Food, supplies, and equipment not protected from potential source of contamination during storage, preparation, transportation, display or service.', ""Evidence of mice or live mice in establishment's food or non-food areas."", 'Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.', 'Hot TCS food item not held at or above 140 °F.', 'Food Protection Certificate (FPC) not held by manager or supervisor of food operations.', 'Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.']","['Not Critical', 'Critical']",['Cycle Inspection / Re-inspection']
HAPPY GARDEN,Bronx,1236-1238,SPOFFORD AVE,10474.0,[Timestamp('2023-03-08 00:00:00')],"['Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.', ""Evidence of mice or live mice in establishment's food or non-food areas."", 'Contract with a pest management professional not in place.  Record of extermination activities not kept on premises.', 'Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.', 'Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container.  Condiments not in single-service containers or dispensed directly by the vendor.', 'Food Protection Certificate (FPC) not held by manager or supervisor of food operations.', 'Hot TCS food item not held at or above 140 °F.', 'Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.']","['Not Critical', 'Critical']",['Cycle Inspection / Initial Inspection']
HOT POT 828,Brooklyn,828,64 STREET,11220.0,[Timestamp('2023-05-23 00:00:00')],"['Mechanical or natural ventilation not provided, inadequate, improperly installed, in disrepair or fails to prevent and control excessive build-up of grease, heat, steam condensation, vapors, odors, smoke or fumes.', 'Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.', 'Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.', 'Contract with a pest management professional not in place. Record of extermination activities not kept on premises.', ""Live roaches in facility's food or non-food area."", 'Tobacco or electronic cigarette use, eating, or drinking from open container in food preparation, food storage or dishwashing area.', 'Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required. Jewelry worn on hands or arms. Fingernail polish worn or fingernails not kept clean and trimmed.', ""Evidence of mice or live mice in establishment's food or non-food areas."", 'No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.', 'Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.']","['Not Critical', 'Critical']",['Cycle Inspection / Initial Inspection']
JADE SEA CHINESE RESTAURANT,Queens,3514,BELL BLVD,11361.0,[Timestamp('2023-09-25 00:00:00')],"['Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.', ""Evidence of mice or live mice in establishment's food or non-food areas."", 'Mechanical or natural ventilation not provided, inadequate, improperly installed, in disrepair or fails to prevent and control excessive build-up of grease, heat, steam condensation, vapors, odors, smoke or fumes.', 'Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.', 'Design, construction, materials used or maintenance of food contact surface improper. Surface not easily cleanable, sanitized and maintained.']","['Not Critical', 'Critical']",['Cycle Inspection / Re-inspection']
JI YOU BRAISED FOOD,Queens,4118,MAIN ST,11355.0,[Timestamp('2023-09-01 00:00:00')],"['Insufficient or no hot holding, cold storage or cold holding equipment provided to maintain Time/Temperature Control for Safety Foods (TCS) at required temperatures', 'Hot TCS food item not held at or above 140 °F.', 'Food adulterated or misbranded. Adulterated or misbranded food possessed, being manufactured, produced, packed, sold, offered for sale, delivered or given away', 'Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.', 'After cooking or removal from hot holding, TCS food not cooled by an approved method whereby the internal temperature is reduced from 140 °F to 70 °F or less within 2 hours, and from 70 °F to 41 °F or less within 4 additional hours.']","['Critical', 'Not Critical']",['Pre-permit (Operational) / Initial Inspection']
JIN FENG FISH BALL,Queens,41-40,MAIN STREET,11355.0,[Timestamp('2023-04-28 00:00:00')],"['Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.', ""Evidence of rats or live rats in establishment's food or non-food areas."", 'Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.', 'Hot TCS food item not held at or above 140 °F.', ""Evidence of mice or live mice in establishment's food or non-food areas."", 'Contract with a pest management professional not in place. Record of extermination activities not kept on premises.', 'Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.', 'Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.']","['Not Critical', 'Critical']",['Cycle Inspection / Initial Inspection']
JOE'S HOME OF SOUP DUMPLINGS,Manhattan,12,EAST   49 STREET,10017.0,[Timestamp('2023-09-13 00:00:00')],"[""Evidence of mice or live mice in establishment's food or non-food areas."", 'Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.', ""Live roaches in facility's food or non-food area."", 'Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.', 'Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.', 'Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.']","['Critical', 'Not Critical']",['Cycle Inspection / Re-inspection']
KIM FAI,Brooklyn,1628,UTICA AVENUE,11234.0,[Timestamp('2023-11-13 00:00:00')],"['Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.', 'Tobacco or electronic cigarette use, eating, or drinking from open container in food preparation, food storage or dishwashing area.', 'Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.', 'Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.', 'Design, construction, materials used or maintenance of food contact surface improper. Surface not easily cleanable, sanitized and maintained.', 'Hot TCS food item not held at or above 140 °F.', 'Garbage receptacle not pest or water resistant, with tight-fitting lids, and covered except while in active use. Garbage receptacle and cover not cleaned after emptying and prior to reuse. Garbage, refuse and other solid and liquid waste not collected, stored, removed and disposed of so as to prevent a nuisance.', ""Evidence of rats or live rats in establishment's food or non-food areas."", 'Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.', ""Live roaches in facility's food or non-food area."", ""Evidence of mice or live mice in establishment's food or non-food areas.""]","['Critical', 'Not Critical']",['Pre-permit (Operational) / Initial Inspection']
LEGEND,Manhattan,127,WEST   72 STREET,10023.0,[Timestamp('2023-02-23 00:00:00')],"['Contract with a pest management professional not in place.  Record of extermination activities not kept on premises.', 'Food, supplies, and equipment not protected from potential source of contamination during storage, preparation, transportation, display or service.', 'Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.', 'No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area.  Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.', ""Evidence of rats or live rats in establishment's food or non-food areas."", 'Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.', 'Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.', 'Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.']","['Not Critical', 'Critical']",['Cycle Inspection / Initial Inspection']
LONG ISLAND DUMPLINGS,Manhattan,513,AVENUE OF THE AMERICAS,10011.0,[Timestamp('2023-08-21 00:00:00')],"[""Evidence of mice or live mice in establishment's food or non-food areas."", 'Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.', 'Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.', 'Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.']","['Critical', 'Not Critical']",['Pre-permit (Operational) / Re-inspection']
MING WONG,Bronx,29,WEST BURNSIDE AVENUE,10453.0,[Timestamp('2023-05-22 00:00:00')],"[""Evidence of mice or live mice in establishment's food or non-food areas."", 'Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.', 'Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required. Jewelry worn on hands or arms. Fingernail polish worn or fingernails not kept clean and trimmed.', 'Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.', 'Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.', 'Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.', 'Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.', 'Hot TCS food item not held at or above 140 °F.', 'Contract with a pest management professional not in place. Record of extermination activities not kept on premises.']","['Critical', 'Not Critical']",['Cycle Inspection / Initial Inspection']
MR. Q BBQ,Brooklyn,802,56 STREET,11220.0,[Timestamp('2023-09-12 00:00:00')],"['Insufficient or no hot holding, cold storage or cold holding equipment provided to maintain Time/Temperature Control for Safety Foods (TCS) at required temperatures', 'Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.', 'After cooking or removal from hot holding, TCS food not cooled by an approved method whereby the internal temperature is reduced from 140 °F to 70 °F or less within 2 hours, and from 70 °F to 41 °F or less within 4 additional hours.', 'Thawing procedure improper.', 'Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.']","['Critical', 'Not Critical']",['Pre-permit (Operational) / Initial Inspection']
MR. SUN,Manhattan,48,WEST   48 STREET,10036.0,[Timestamp('2023-06-28 00:00:00')],"['Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.', ""Live roaches in facility's food or non-food area."", 'Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.', ""Evidence of mice or live mice in establishment's food or non-food areas."", 'Accurate thermometer not provided or properly located in refrigerated, cold storage or hot holding equipment', 'Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.', 'Hot TCS food item not held at or above 140 °F.']","['Critical', 'Not Critical']",['Cycle Inspection / Initial Inspection']
MR. TONG,Brooklyn,2926,FORT HAMILTON PARKWAY,11218.0,[Timestamp('2023-11-28 00:00:00')],"['Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.', 'Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.', 'Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.', ""Evidence of mice or live mice in establishment's food or non-food areas.""]","['Critical', 'Not Critical']",['Cycle Inspection / Initial Inspection']
NAN XIANG EXPRESS,Brooklyn,167,GRAND STREET,11249.0,[Timestamp('2023-06-15 00:00:00')],"['Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.', 'Food, prohibited, from unapproved or unknown source, home canned or home prepared. Animal slaughtered, butchered or dressed (eviscerated, skinned) in establishment. Reduced Oxygen Packaged (ROP) fish not frozen before processing. ROP food prepared on premises transported to another site.', 'Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.', ""Evidence of mice or live mice in establishment's food or non-food areas."", 'Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.', 'Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.']","['Critical', 'Not Critical']",['Pre-permit (Operational) / Initial Inspection']
NB WING WONG,Manhattan,42,BOWERY,10013.0,[Timestamp('2023-01-13 00:00:00')],"[""Live roaches in facility's food or non-food area."", 'Hot TCS food item not held at or above 140 °F.', ""Evidence of mice or live mice in establishment's food or non-food areas."", 'Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.', 'Food, supplies, and equipment not protected from potential source of contamination during storage, preparation, transportation, display or service.']","['Critical', 'Not Critical']",['Cycle Inspection / Re-inspection']
NEW CHINA 3,Queens,5814,ROOSEVELT AVE,11377.0,[Timestamp('2023-02-15 00:00:00')],"['Design, construction, materials used or maintenance of food contact surface improper.  Surface not easily cleanable, sanitized and maintained.', 'Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.', 'Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.', 'Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required.  Jewelry is worn on hands or arms.  Fingernail polish worn or fingernails not kept clean and trimmed.', 'Thawing procedure improper.', 'Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.', ""Evidence of mice or live mice in establishment's food or non-food areas.""]","['Not Critical', 'Critical']",['Cycle Inspection / Initial Inspection']
